TYPE,DATA,NAME,LABEL,UNITS,META,GROUP,REQUIRE,CONSTRAINT
SSC_INPUT,SSC_NUMBER,batt_replacement_capacity,Capacity degradation at which to replace battery,%,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_mass,Battery mass,kg,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_length,Battery length,m,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_width,Battery width,m,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_height,Battery height,m,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_Cp,Battery specific heat capacity,J/KgK,,Battery,,
SSC_INPUT,SSC_NUMBER,batt_h_to_ambient,Heat transfer between battery and environment,W/m2K,,Battery,,
SSC_INPUT,SSC_NUMBER,T_room,Temperature of storage room,C,,Battery,,
SSC_INPUT,SSC_MATRIX,cap_vs_temp,Effective capacity as function of temperature,"C,%",,Battery,,
SSC_INPUT,SSC_ARRAY,dispatch_manual_charge,Periods 1-6 charging allowed?,,,Battery,,
SSC_INPUT,SSC_ARRAY,dispatch_manual_discharge,Periods 1-6 discharging allowed?,,,Battery,,
SSC_INPUT,SSC_ARRAY,dispatch_manual_gridcharge,Periods 1-6 grid charging allowed?,,,Battery,,
SSC_INPUT,SSC_ARRAY,dispatch_manual_percent_discharge,Periods 1-6 discharge percent,%,,Battery,,
SSC_INPUT,SSC_ARRAY,dispatch_manual_percent_gridcharge,Periods 1-6 gridcharge percent,%,,Battery,,
SSC_INPUT,SSC_MATRIX,dispatch_manual_sched,Battery dispatch schedule for weekday,,,Battery,,
SSC_INPUT,SSC_MATRIX,dispatch_manual_sched_weekend,Battery dispatch schedule for weekend,,,Battery,,
SSC_INPUT,SSC_ARRAY,batt_target_power,Grid target power for every time step,kW,,Battery,?=0,
SSC_INPUT,SSC_ARRAY,batt_target_power_monthly,Grid target power on monthly basis,kW,,Battery,?=0,
SSC_INPUT,SSC_NUMBER,batt_target_choice,Target power input option,0/1,,Battery,?=0,
SSC_INPUT,SSC_NUMBER,batt_dispatch_choice,Battery dispatch algorithm,0/1/2,,Battery,?=0,
SSC_INPUT,SSC_NUMBER,batt_pv_choice,Prioritize PV usage for load or battery,0/1,,Battery,?=0,
SSC_OUTPUT,SSC_ARRAY,batt_q0,Battery total charge,Ah,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_q1,Battery available charge,Ah,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_q2,Battery bound charge,Ah,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_SOC,Battery state of charge,%,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_DOD,Battery cycle depth of discharge,%,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_qmaxI,Battery maximum capacity at current,Ah,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_qmax,Battery maximum charge,Ah,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_I,Battery current,A,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_voltage_cell,Battery cell voltage,V,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_voltage,Battery voltage,V,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_cycles,Battery number of cycles,,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_temperature,Battery temperature,C,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_capacity_percent,Battery capacity percent for lifetime,%,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_capacity_thermal_percent,Battery capacity percent for temperature,%,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_bank_replacement,Battery bank replacements per year,number/year,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_power,Power to/from battery,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,grid_power,Power to/from grid,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,pv_batt_gen,Power of PV+battery,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,pv_to_load,Power to load from PV,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_to_load,Power to load from battery,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,grid_to_load,Power to load from grid,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,pv_to_batt,Power to battery from PV,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,grid_to_batt,Power to battery from grid,kW,,Battery,,
SSC_OUTPUT,SSC_ARRAY,monthly_pv_to_load,Energy to load from PV,kWh,,Battery,,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,monthly_batt_to_load,Energy to load from battery,kWh,,Battery,,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,monthly_grid_to_load,Energy to load from grid,kWh,,Battery,,LENGTH=12
SSC_OUTPUT,SSC_ARRAY,batt_annual_charge_from_pv,Battery annual energy charged from pv,kWh,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_annual_charge_from_grid,Battery annual energy charged from grid,kWh,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_annual_charge_energy,Battery annual energy charged,kWh,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_annual_discharge_energy,Battery annual energy discharged,kWh,,Battery,,
SSC_OUTPUT,SSC_ARRAY,batt_annual_energy_loss,Battery annual energy loss,kWh,,Battery,,
SSC_OUTPUT,SSC_ARRAY,annual_export_to_grid_energy,Annual energy exported to grid,kWh,,Battery,,
SSC_OUTPUT,SSC_ARRAY,annual_import_to_grid_energy,Annual energy imported from grid,kWh,,Battery,,
SSC_OUTPUT,SSC_NUMBER,average_cycle_efficiency,Battery average cycle efficiency,%,,Annual,,
SSC_OUTPUT,SSC_NUMBER,batt_pv_charge_percent,Battery percent energy charged from PV,%,,Annual,,
SSC_OUTPUT,SSC_NUMBER,batt_bank_installed_capacity,Battery bank installed capacity,kWh,,Annual,,
SSC_OUTPUT,SSC_MATRIX,batt_dispatch_sched,Battery dispatch schedule,,,Battery,,
