TYPE,DATA,NAME,LABEL,UNITS,META,GROUP,REQUIRE,CONSTRAINT
SSC_INPUT,SSC_NUMBER,subarray1_tilt_eq_lat,Sub-array 1 Tilt=latitude override,0/1,,pvsamv1,na:subarray1_tilt,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray1_azimuth,Sub-array 1 Azimuth,deg,"0=N,90=E,180=S,270=W",pvsamv1,*,"MIN=0,MAX=359.9"
SSC_INPUT,SSC_NUMBER,subarray1_track_mode,Sub-array 1 Tracking mode,,"0=fixed,1=1axis,2=2axis,3=azi",pvsamv1,*,"INTEGER,MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray1_rotlim,Sub-array 1 Tracker rotation limit,deg,,pvsamv1,?=45,"MIN=5,MAX=85"
SSC_INPUT,SSC_NUMBER,subarray1_shade_mode,Sub-array 1 shading mode (fixed tilt or 1x tracking),0/1/2,"0=none,1=standard(non-linear),2=thin film(linear)",pvsamv1,*,"INTEGER,MIN=0,MAX=2"
SSC_INPUT,SSC_NUMBER,subarray1_gcr,Sub-array 1 Ground coverage ratio,0..1,,pvsamv1,?=0.3,"MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray1_shading:string_option,Sub-array 1 shading string option,,"0=shadingdb,1=shadingdb_notc,2=average,3=maximum,4=minimum",pvsamv1,?=-1,"INTEGER,MIN=-1,MAX=4"
SSC_INPUT,SSC_MATRIX,subarray1_shading:timestep,Sub-array 1 timestep beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray1_shading:mxh,Sub-array 1 Month x Hour beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray1_shading:azal,Sub-array 1 Azimuth x altitude beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_NUMBER,subarray1_shading:diff,Sub-array 1 Diffuse shading loss,%,,pvsamv1,?,
SSC_INPUT,SSC_ARRAY,subarray1_soiling,Sub-array 1 Monthly soiling loss,%,,pvsamv1,*,LENGTH=12
SSC_INPUT,SSC_NUMBER,subarray1_mismatch_loss,Sub-array 1 DC mismatch loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray1_diodeconn_loss,Sub-array 1 DC diodes and connections loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray1_dcwiring_loss,Sub-array 1 DC wiring loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray1_tracking_loss,Sub-array 1 DC tracking error loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray1_nameplate_loss,Sub-array 1 DC nameplate loss,%,,pvsamv1,*,"MIN=-5,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray2_mismatch_loss,Sub-array 2 DC mismatch loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray2_diodeconn_loss,Sub-array 2 DC diodes and connections loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray2_dcwiring_loss,Sub-array 2 DC wiring loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray2_tracking_loss,Sub-array 2 DC tracking error loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray2_nameplate_loss,Sub-array 2 DC nameplate loss,%,,pvsamv1,?,"MIN=-5,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray3_mismatch_loss,Sub-array 3 DC mismatch loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray3_diodeconn_loss,Sub-array 3 DC diodes and connections loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray3_dcwiring_loss,Sub-array 3 DC wiring loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray3_tracking_loss,Sub-array 3 DC tracking error loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray3_nameplate_loss,Sub-array 3 DC nameplate loss,%,,pvsamv1,?,"MIN=-5,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray4_mismatch_loss,Sub-array 4 DC mismatch loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray4_diodeconn_loss,Sub-array 4 DC diodes and connections loss,%,?,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray4_dcwiring_loss,Sub-array 4 DC wiring loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray4_tracking_loss,Sub-array 4 DC tracking error loss,%,,pvsamv1,?,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray4_nameplate_loss,Sub-array 4 DC nameplate loss,%,,pvsamv1,?,"MIN=-5,MAX=100"
SSC_INPUT,SSC_NUMBER,dcoptimizer_loss,DC power optimizer loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,acwiring_loss,AC wiring loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,transformer_loss,AC step-up transformer loss,%,,pvsamv1,*,"MIN=0,MAX=100"
SSC_INPUT,SSC_NUMBER,subarray1_mod_orient,Sub-array 1 Module orientation for self-shading,0/1,"0=portrait,1=landscape",pvsamv1,subarray1_shade_mode>0,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,subarray1_nmodx,Sub-array 1 no. of modules along bottom for self-shading,,,pvsamv1,subarray1_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray1_nmody,Sub-array 1 no. of modules along side for self-shading,,,pvsamv1,subarray1_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray1_backtrack,Sub-array 1 Backtracking enabled,,"0=no backtracking,1=backtrack",pvsamv1,subarray1_track_mode=1,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray2_enable,Sub-array 2 Enable,0/1,"0=disabled,1=enabled",pvsamv1,?=0,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray2_nstrings,Sub-array 2 Number of parallel strings,,,pvsamv1,subarray2_enable=1,INTEGER
SSC_INPUT,SSC_NUMBER,subarray2_tilt,Sub-array 2 Tilt,deg,"0=horizontal,90=vertical",pvsamv1,naof:subarray2_tilt_eq_lat,"MIN=0,MAX=90"
SSC_INPUT,SSC_NUMBER,subarray2_tilt_eq_lat,Sub-array 2 Tilt=latitude override,0/1,,pvsamv1,na:subarray2_tilt,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray2_azimuth,Sub-array 2 Azimuth,deg,"0=N,90=E,180=S,270=W",pvsamv1,subarray2_enable=1,"MIN=0,MAX=359.9"
SSC_INPUT,SSC_NUMBER,subarray2_track_mode,Sub-array 2 Tracking mode,,"0=fixed,1=1axis,2=2axis,3=azi",pvsamv1,subarray2_enable=1,"INTEGER,MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray2_rotlim,Sub-array 2 Tracker rotation limit,deg,,pvsamv1,?=45,"MIN=5,MAX=85"
SSC_INPUT,SSC_NUMBER,subarray2_shade_mode,Sub-array 2 shading mode (fixed tilt or 1x tracking),0/1/2,"0=none,1=standard(non-linear),2=thin film(linear)",pvsamv1,*,"INTEGER,MIN=0,MAX=2"
SSC_INPUT,SSC_NUMBER,subarray2_gcr,Sub-array 2 Ground coverage ratio,0..1,,pvsamv1,?=0.3,"MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray2_shading:string_option,Sub-array 2 shading string option,,"0=shadingdb,1=shadingdb_notc,2=average,3=maximum,4=minimum",pvsamv1,?=-1,"INTEGER,MIN=-1,MAX=4"
SSC_INPUT,SSC_MATRIX,subarray2_shading:timestep,Sub-array 2 timestep beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray2_shading:mxh,Sub-array 2 Month x Hour beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray2_shading:azal,Sub-array 2 Azimuth x altitude beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_NUMBER,subarray2_shading:diff,Sub-array 2 Diffuse shading loss,%,,pvsamv1,?,
SSC_INPUT,SSC_ARRAY,subarray2_soiling,Sub-array 2 Monthly soiling loss,%,,pvsamv1,subarray2_enable=1,LENGTH=12
SSC_INPUT,SSC_NUMBER,subarray2_mod_orient,Sub-array 2 Module orientation for self-shading,0/1,"0=portrait,1=landscape",pvsamv1,subarray2_shade_mode>0,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,subarray2_nmodx,Sub-array 2 no. of modules along bottom for self-shading,,,pvsamv1,subarray2_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray2_nmody,Sub-array 2 no. of modules along side for self-shading,,,pvsamv1,subarray2_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray2_backtrack,Sub-array 2 Backtracking enabled,,"0=no backtracking,1=backtrack",pvsamv1,subarray2_track_mode=1,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray3_enable,Sub-array 3 Enable,0/1,"0=disabled,1=enabled",pvsamv1,?=0,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray3_nstrings,Sub-array 3 Number of parallel strings,,,pvsamv1,subarray3_enable=1,INTEGER
SSC_INPUT,SSC_NUMBER,subarray3_tilt,Sub-array 3 Tilt,deg,"0=horizontal,90=vertical",pvsamv1,naof:subarray3_tilt_eq_lat,"MIN=0,MAX=90"
SSC_INPUT,SSC_NUMBER,subarray3_tilt_eq_lat,Sub-array 3 Tilt=latitude override,0/1,,pvsamv1,na:subarray3_tilt,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray3_azimuth,Sub-array 3 Azimuth,deg,"0=N,90=E,180=S,270=W",pvsamv1,subarray3_enable=1,"MIN=0,MAX=359.9"
SSC_INPUT,SSC_NUMBER,subarray3_track_mode,Sub-array 3 Tracking mode,,"0=fixed,1=1axis,2=2axis,3=azi",pvsamv1,subarray3_enable=1,"INTEGER,MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray3_rotlim,Sub-array 3 Tracker rotation limit,deg,,pvsamv1,?=45,"MIN=5,MAX=85"
SSC_INPUT,SSC_NUMBER,subarray3_shade_mode,Sub-array 3 shading mode (fixed tilt or 1x tracking),0/1/2,"0=none,1=standard(non-linear),2=thin film(linear)",pvsamv1,*,"INTEGER,MIN=0,MAX=2"
SSC_INPUT,SSC_NUMBER,subarray3_gcr,Sub-array 3 Ground coverage ratio,0..1,,pvsamv1,?=0.3,"MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray3_shading:string_option,Sub-array 3 shading string option,,"0=shadingdb,1=shadingdb_notc,2=average,3=maximum,4=minimum",pvsamv1,?=-1,"INTEGER,MIN=-1,MAX=4"
SSC_INPUT,SSC_MATRIX,subarray3_shading:timestep,Sub-array 3 timestep beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray3_shading:mxh,Sub-array 3 Month x Hour beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray3_shading:azal,Sub-array 3 Azimuth x altitude beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_NUMBER,subarray3_shading:diff,Sub-array 3 Diffuse shading loss,%,,pvsamv1,?,
SSC_INPUT,SSC_ARRAY,subarray3_soiling,Sub-array 3 Monthly soiling loss,%,,pvsamv1,subarray3_enable=1,LENGTH=12
SSC_INPUT,SSC_NUMBER,subarray3_mod_orient,Sub-array 3 Module orientation for self-shading,0/1,"0=portrait,1=landscape",pvsamv1,subarray1_shade_mode>0,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,subarray3_nmodx,Sub-array 3 no. of modules along bottom for self-shading,,,pvsamv1,subarray3_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray3_nmody,Sub-array 3 no. of modules along side for self-shading,,,pvsamv1,subarray3_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray3_backtrack,Sub-array 3 Backtracking enabled,,"0=no backtracking,1=backtrack",pvsamv1,subarray3_track_mode=1,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray4_enable,Sub-array 4 Enable,0/1,"0=disabled,1=enabled",pvsamv1,?=0,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray4_nstrings,Sub-array 4 Number of parallel strings,,,pvsamv1,subarray4_enable=1,INTEGER
SSC_INPUT,SSC_NUMBER,subarray4_tilt,Sub-array 4 Tilt,deg,"0=horizontal,90=vertical",pvsamv1,naof:subarray4_tilt_eq_lat,"MIN=0,MAX=90"
SSC_INPUT,SSC_NUMBER,subarray4_tilt_eq_lat,Sub-array 4 Tilt=latitude override,0/1,,pvsamv1,na:subarray4_tilt,BOOLEAN
SSC_INPUT,SSC_NUMBER,subarray4_azimuth,Sub-array 4 Azimuth,deg,"0=N,90=E,180=S,270=W",pvsamv1,subarray4_enable=1,"MIN=0,MAX=359.9"
SSC_INPUT,SSC_NUMBER,subarray4_track_mode,Sub-array 4 Tracking mode,,"0=fixed,1=1axis,2=2axis,3=azi",pvsamv1,subarray4_enable=1,"INTEGER,MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray4_rotlim,Sub-array 4 Tracker rotation limit,deg,,pvsamv1,?=45,"MIN=5,MAX=85"
SSC_INPUT,SSC_NUMBER,subarray4_shade_mode,Sub-array 4 shading mode (fixed tilt or 1x tracking),0/1/2,"0=none,1=standard(non-linear),2=thin film(linear)",pvsamv1,*,"INTEGER,MIN=0,MAX=2"
SSC_INPUT,SSC_NUMBER,subarray4_gcr,Sub-array 4 Ground coverage ratio,0..1,,pvsamv1,?=0.3,"MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,subarray4_shading:string_option,Sub-array 4 shading string option,,"0=shadingdb,1=shadingdb_notc,2=average,3=maximum,4=minimum",pvsamv1,?=-1,"INTEGER,MIN=-1,MAX=4"
SSC_INPUT,SSC_MATRIX,subarray4_shading:timestep,Sub-array 4 timestep beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray4_shading:mxh,Sub-array 4 Month x Hour beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_MATRIX,subarray4_shading:azal,Sub-array 4 Azimuth x altitude beam shading losses,%,,pvsamv1,?,
SSC_INPUT,SSC_NUMBER,subarray4_shading:diff,Sub-array 4 Diffuse shading loss,%,,pvsamv1,?,
SSC_INPUT,SSC_ARRAY,subarray4_soiling,Sub-array 4 Monthly soiling loss,%,,pvsamv1,subarray4_enable=1,LENGTH=12
SSC_INPUT,SSC_NUMBER,subarray4_mod_orient,Sub-array 4 Module orientation for self-shading,0/1,"0=portrait,1=landscape",pvsamv1,subarray4_shade_mode>0,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,subarray4_nmodx,Sub-array 4 no. of modules along bottom for self-shading,,,pvsamv1,subarray4_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray4_nmody,Sub-array 4 no. of modules along side for self-shading,,,pvsamv1,subarray4_shade_mode>0,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,subarray4_backtrack,Sub-array 4 Backtracking enabled,,"0=no backtracking,1=backtrack",pvsamv1,subarray4_track_mode=1,BOOLEAN
SSC_INPUT,SSC_NUMBER,module_model,Photovoltaic module model specifier,,"0=spe,1=cec,2=6par_user,3=snl,4=sd11-iec61853",pvsamv1,*,"INTEGER,MIN=0,MAX=4"
SSC_INPUT,SSC_NUMBER,spe_area,Module area,m2,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_rad0,Irradiance level 0,W/m2,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_rad1,Irradiance level 1,W/m2,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_rad2,Irradiance level 2,W/m2,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_rad3,Irradiance level 3,W/m2,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_rad4,Irradiance level 4,W/m2,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_eff0,Efficiency at irradiance level 0,%,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_eff1,Efficiency at irradiance level 1,%,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_eff2,Efficiency at irradiance level 2,%,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_eff3,Efficiency at irradiance level 3,%,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_eff4,Efficiency at irradiance level 4,%,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_reference,Reference irradiance level,,,pvsamv1,module_model=0,"INTEGER,MIN=0,MAX=4"
SSC_INPUT,SSC_NUMBER,spe_module_structure,Mounting and module structure,,"0=glass/cell/polymer sheet - open rack,1=glass/cell/glass - open rack,2=polymer/thin film/steel - open rack,3=Insulated back, building-integrated PV,4=close roof mount,5=user-defined",pvsamv1,module_model=0,"INTEGER,MIN=0,MAX=5"
SSC_INPUT,SSC_NUMBER,spe_a,Cell temp parameter a,,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_b,Cell temp parameter b,,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_dT,Cell temp parameter dT,,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_temp_coeff,Temperature coefficient,%/C,,pvsamv1,module_model=0,
SSC_INPUT,SSC_NUMBER,spe_fd,Diffuse fraction,0..1,,pvsamv1,module_model=0,"MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,spe_vmp,Nominal max power voltage,V,,pvsamv1,module_model=0,POSITIVE
SSC_INPUT,SSC_NUMBER,spe_voc,Nominal open circuit voltage,V,,pvsamv1,module_model=0,POSITIVE
SSC_INPUT,SSC_NUMBER,cec_area,Module area,m2,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_a_ref,Nonideality factor a,,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_adjust,Temperature coefficient adjustment,%,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_alpha_sc,Short circuit current temperature coefficient,A/C,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_beta_oc,Open circuit voltage temperature coefficient,V/C,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_gamma_r,Maximum power point temperature coefficient,%/C,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_i_l_ref,Light current,A,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_i_mp_ref,Maximum power point current,A,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_i_o_ref,Saturation current,A,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_i_sc_ref,Short circuit current,A,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_n_s,Number of cells in series,,,pvsamv1,module_model=1,POSITIVE
SSC_INPUT,SSC_NUMBER,cec_r_s,Series resistance,ohm,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_r_sh_ref,Shunt resistance,ohm,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_t_noct,Nominal operating cell temperature,C,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_v_mp_ref,Maximum power point voltage,V,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_v_oc_ref,Open circuit voltage,V,,pvsamv1,module_model=1,
SSC_INPUT,SSC_NUMBER,cec_temp_corr_mode,Cell temperature model selection,,"0=noct,1=mc",pvsamv1,module_model=1,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,cec_standoff,Standoff mode,,"0=bipv,1=>3.5in,2=2.5-3.5in,3=1.5-2.5in,4=0.5-1.5in,5=<0.5in,6=ground/rack",pvsamv1,module_model=1,"INTEGER,MIN=0,MAX=6"
SSC_INPUT,SSC_NUMBER,cec_height,Array mounting height,,"0=one story,1=two story",pvsamv1,module_model=1,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,cec_mounting_config,Mounting configuration,,"0=rack,1=flush,2=integrated,3=gap",pvsamv1,module_model=1&cec_temp_corr_mode=1,"INTEGER,MIN=0,MAX=3"
SSC_INPUT,SSC_NUMBER,cec_heat_transfer,Heat transfer dimensions,,"0=module,1=array",pvsamv1,module_model=1&cec_temp_corr_mode=1,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,cec_mounting_orientation,Mounting structure orientation,,"0=do not impede flow,1=vertical supports,2=horizontal supports",pvsamv1,module_model=1&cec_temp_corr_mode=1,"INTEGER,MIN=0,MAX=2"
SSC_INPUT,SSC_NUMBER,cec_gap_spacing,Gap spacing,m,,pvsamv1,module_model=1&cec_temp_corr_mode=1,
SSC_INPUT,SSC_NUMBER,cec_module_width,Module width,m,,pvsamv1,module_model=1&cec_temp_corr_mode=1,
SSC_INPUT,SSC_NUMBER,cec_module_length,Module height,m,,pvsamv1,module_model=1&cec_temp_corr_mode=1,
SSC_INPUT,SSC_NUMBER,cec_array_rows,Rows of modules in array,,,pvsamv1,module_model=1&cec_temp_corr_mode=1,
SSC_INPUT,SSC_NUMBER,cec_array_cols,Columns of modules in array,,,pvsamv1,module_model=1&cec_temp_corr_mode=1,
SSC_INPUT,SSC_NUMBER,cec_backside_temp,Module backside temperature,C,,pvsamv1,module_model=1&cec_temp_corr_mode=1,POSITIVE
SSC_INPUT,SSC_NUMBER,6par_celltech,Solar cell technology type,,"monoSi=0,multiSi=1,CdTe=2,CIS=3,CIGS=4,Amorphous=5",pvsamv1,module_model=2,"INTEGER,MIN=0,MAX=5"
SSC_INPUT,SSC_NUMBER,6par_vmp,Maximum power point voltage,V,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_imp,Imp,A,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_voc,Voc,V,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_isc,Isc,A,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_bvoc,Short circuit current temperature coefficient,V/C,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_aisc,Open circuit voltage temperature coefficient,A/C,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_gpmp,Maximum power point temperature coefficient,%/C,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_nser,Nseries,,,pvsamv1,module_model=2,"INTEGER,POSITIVE"
SSC_INPUT,SSC_NUMBER,6par_area,Module area,m2,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_tnoct,Nominal operating cell temperature,C,,pvsamv1,module_model=2,
SSC_INPUT,SSC_NUMBER,6par_standoff,Standoff mode,,"0=bipv,1=>3.5in,2=2.5-3.5in,3=1.5-2.5in,4=0.5-1.5in,5=<0.5in,6=ground/rack",pvsamv1,module_model=2,"INTEGER,MIN=0,MAX=6"
SSC_INPUT,SSC_NUMBER,6par_mounting,Array mounting height,,"0=one story,1=two story",pvsamv1,module_model=2,"INTEGER,MIN=0,MAX=1"
SSC_INPUT,SSC_NUMBER,snl_module_structure,Module and mounting structure configuration,,"0=Use Database Values,1=glass/cell/polymer sheet - open rack,2=glass/cell/glass - open rack,3=polymer/thin film/steel - open rack,4=Insulated back building-integrated PV,5=close roof mount,6=user-defined",pvsamv1,module_model=3,"INTEGER,MIN=0,MAX=6"
SSC_INPUT,SSC_NUMBER,snl_a,Temperature coefficient a,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_b,Temperature coefficient b,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_dtc,Temperature coefficient dT,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_ref_a,User-specified a,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_ref_b,User-specified b,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_ref_dT,User-specified dT,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_fd,Diffuse fraction,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_a0,Air mass polynomial coeff 0,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_a1,Air mass polynomial coeff 1,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_a2,Air mass polynomial coeff 2,,,pvsamv1,module_model=3,
SSC_INPUT,SSC_NUMBER,snl_a3,Air mass polynomial coeff 3,,,pvsamv1,module_model=3,
